task_id	phase	task	start	end	duration_days	status	progress_pct	evidence	note
T13	Biological application	PDAC/TME dual-route preflight and runbook	2026-05-04	2026-05-04	1	done	100	docs/pdac_tme_dual_route_preflight.md	Primary and validation AnnData inputs, label/covariate availability, formal DE/GSEA gaps, and both route execution steps are documented.
T14	Release	Public GitHub repository, release, and Zenodo DOI	2026-05-02	2026-05-04	3	done	100	results/release/release_readiness.tsv	Public GitHub repository, v0.1.0 GitHub Release, and Zenodo DOI are complete.
T15	Statistics	Realistic null and rare-state power calibration	2026-05-02	2026-05-04	3	done	100	docs/realistic_null_power_calibration.md	50-repeat count-preserving null and rare-state power curves are complete; lowest-prevalence weak-effect settings remain a claim-boundary limitation.
T16	Statistics	Rare-state weak-regime claim boundary	2026-05-04	2026-05-04	1	done	100	docs/rare_state_claim_boundary.md	Power is strong for moderate settings but weak at prevalence 0.02/effect 2.5; a claim-boundary table now blocks universal rare-state recovery wording.
T17	Public benchmark	Manuscript-grade stability rerun and stronger baselines	2026-05-02	2026-05-19	18	partial	99	docs/manuscript_grade_stability_statistics.md	Seven-dataset pairwise ARI output, CI/paired-delta report, local matched Python baseline pilot, official Seurat fixed30/fixed50/elbow/JackStraw 20-repeat rows, paired20 RMTGuard-versus-official-Seurat statistics, and added-dataset matched Seurat rows are present.
T18	Algorithm and diagnostics	Full component ablation	2026-05-02	2026-05-17	16	partial	95	docs/p0_science_sprint_status.md	Synthetic and labeled real-data component-ablation layers now reach 20 repeats with CI columns; 50-repeat realistic null/power calibration is complete and claim-bounded.
T19	Algorithm and diagnostics	P0 synthetic component ablation 20-repeat CI layer	2026-05-04	2026-05-04	1	done	100	docs/component_ablation_benchmark.md	Synthetic null, rare-state, and batch-effect component ablations rerun to 20 repeats with CI columns and source data.
T20	Algorithm and diagnostics	Real-data annotation repeated-split pilot	2026-05-02	2026-05-04	3	done	100	docs/realdata_ablation_annotation.md	Kang IFN-beta PBMC, Baron pancreas, PBMC68k/Zheng 2017, and PDAC GSE263733 now have 80% subsampling, 20-repeat, 7-variant annotation/batch ablation checks.
T21	Algorithm and diagnostics	P0 real-data component ablation 20-repeat layer	2026-05-04	2026-05-04	1	done	100	docs/realdata_ablation_annotation.md	Four labeled public datasets x seven variants reached 20 repeats with label-ARI, batch-ARI, no-call, and CI summaries.
T22	Manuscript package	Real-data ablation forest plot and supplemental table	2026-05-03	2026-05-04	2	done	100	docs/realdata_ablation_figure_table.md	Four-dataset real-data ablation checks are packaged as source data, PNG/PDF/TIFF forest plot, Word supplemental table, and visual-audit manifests.
T23	Public benchmark	Matched Seurat/JackStraw baseline design	2026-05-03	2026-05-03	1	done	100	docs/matched_baseline_design.md	Execution design exists for RMTGuard, Scanpy, Seurat v5, JackStraw, and permutation/parallel PCA on identical split logic; results are still pending.
T24	Public benchmark	Local matched Python baseline pilot	2026-05-03	2026-05-03	1	done	100	docs/matched_baseline_pilot.md	RMTGuard rows imported from ablation pilot and local Scanpy-like, fixed-PC, elbow, parallel-analysis, and JackStraw-like proxy baselines executed on matched 80% subsampling repeats.
T25	Public benchmark	Official Seurat MTX bridge and smoke	2026-05-03	2026-05-03	1	done	100	docs/seurat_matched_baseline.md	MatrixMarket bridge generated for four prepared datasets; official Seurat v5 rows execute on the shared 80% subsampling framework.
T26	Public benchmark	Official Seurat fixed-PC/elbow 20-repeat comparator	2026-05-03	2026-05-03	1	done	100	docs/seurat_matched_baseline.md	Official Seurat v5 fixed30, fixed50, and elbow-rule rows now have 20 repeats across seven prepared public datasets.
T27	Public benchmark	Official Seurat JackStraw 20-repeat comparator	2026-05-03	2026-05-03	1	done	100	docs/seurat_jackstraw_feasibility.md	Official Seurat JackStraw runs across seven prepared public datasets with 20 subsampling repeats and 20 JackStraw replicates.
T28	Public benchmark	Paired RMTGuard vs official Seurat statistics	2026-05-03	2026-05-03	1	done	100	docs/rmtguard_seurat_paired_statistics.md	RMTGuard default was rerun with the same random_state seed logic as official Seurat; 20 repeats are paired against Seurat fixed30/fixed50/elbow/JackStraw rows on five labeled datasets with bootstrap CIs, sign-flip p values, FDR, and a Figure 3 forest-plot source table.
T29	Public benchmark	Added-dataset official Seurat rows	2026-05-03	2026-05-03	1	done	100	docs/seurat_matched_baseline.md	PBMC3k and PDAC GSE154778 now have official Seurat fixed30/fixed50/elbow/JackStraw 20-repeat rows; they remain label-free stability/runtime evidence unless reliable annotations are added.
T30	Public benchmark	Direct scLENSpy n_rand_matrix=20 comparator	2026-05-12	2026-05-12	1	done	100	docs/sclens_stability_nrand20_2026-05-12.md	Direct scLENSpy comparator completed on PBMC3k and Kang with 10 subsampling repeats and n_rand_matrix=20.
T31	Public benchmark	CONCORD-style topology stress benchmark	2026-05-12	2026-05-12	1	done	100	docs/topology_stress_benchmark_2026-05-12.md	Line, branch, and loop topology stress tests completed with 20 repeats and journal-ready source data/figure assets.
T32	Biological application	PDAC/TME deep validation first pass	2026-05-10	2026-05-10	1	done_with_limit	75	docs/pdac_tme_deep_validation.md	FDR-controlled marker DE, marker-set enrichment, external signature transfer, and Figure 4 source data are complete; pathway/atlas upgrade and bounded wording now control the final claim.
T33	Biological application	PDAC/TME pathway and atlas upgrade	2026-05-10	2026-05-10	1	done_with_limit	85	docs/pdac_tme_pathway_atlas_validation.md	Rank-based MSigDB Hallmark/Reactome enrichment, manuscript-interpretable pathway labeling, atlas marker citation mapping, and Figure 4 pathway/atlas source data are complete.
T34	Biological application	PDAC/TME final Figure 4 wording freeze	2026-05-10	2026-05-10	1	done_with_limit	90	docs/figure4_pdac_tme_wording_freeze.md	Bounded Figure 4 title, caption, allowed wording, forbidden wording, and source-data wording are frozen; formal corresponding-author acknowledgement remains before external submission.
T35	Public benchmark	Additional public datasets	2026-05-03	2026-05-03	1	done	100	docs/manuscript_grade_stability_statistics.md	Stability benchmark expanded from four to seven public datasets by adding Paul15 hematopoiesis, PDAC GSE154778, and PDAC GSE263733.
T36	Manuscript package	Final figure source data, captions, and reporting summary	2026-06-02	2026-06-16	15	planned	0	docs/nature_reporting_summary_draft.md	Regenerate all source-data tables and final journal-resolution figures after benchmark freeze.
T37	Release	Post-release gates and reproducibility audit	2026-05-04	2026-05-04	1	done	100	results/submission/submission_guard.tsv	Release readiness, public-release blockers, source audit, claim lint, and traceability checks pass; scientific submission guard remains separate.
T38	Release	Cross-project shared information package	2026-05-04	2026-05-04	1	done	100	docs/shared_info_export_manifest.md	Reusable RMTGuard status, manual-action, release-evidence, and external-review templates exported to D:/99、共用信息 for other projects.
T39	Journal route	Nature Methods presubmission go/no-go packet	2026-05-10	2026-05-10	1	done_with_limit	90	docs/nature_methods_go_no_go_final.md	Full Nature Methods submission remains no-go; presubmission inquiry is conditionally go after corresponding-author Figure 4 acknowledgement.
T40	Journal route	Nature Methods vs Genome Biology go/no-go	2026-06-21	2026-07-05	15	planned	0	results/submission/post_feedback_journal_route_gate.tsv	Nature Methods only if gates pass; otherwise reframe for Genome Biology or lower-risk route.
T41	Journal route	Submission package freeze	2026-07-06	2026-07-19	14	planned	0	results/submission/presubmission_gatekeeper.tsv	Final abstract, cover letter, checklist, data/code availability, and source-data package.
