role	status	source_path	shared_path	notes
Gantt chart PNG	copied	figures/project_management/rmtguard_project_gantt.png	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_PROJECT_GANTT.png	source copied
Gantt chart PDF	copied	figures/project_management/rmtguard_project_gantt.pdf	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_PROJECT_GANTT.pdf	source copied
manual author action checklist	copied	docs/manual_next_actions_20_50.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_MANUAL_NEXT_ACTIONS_20_50.md	source copied
author execution checklist	copied	docs/manual_author_execution_steps.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_MANUAL_AUTHOR_EXECUTION_STEPS.md	source copied
release blocker report	copied	docs/public_release_blocker_report.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\03_release_evidence\RMTGuard_PUBLIC_RELEASE_BLOCKER_REPORT.md	source copied
code availability draft	copied	manuscript/code_availability_finalization_draft.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\03_release_evidence\RMTGuard_CODE_AVAILABILITY_FINALIZATION_DRAFT.md	source copied
title-page author metadata	copied	manuscript/title_page_author_metadata.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\05_author_metadata\RMTGuard_TITLE_PAGE_AUTHOR_METADATA.md	source copied
author declarations and CRediT roles	copied	docs/author_declarations_and_credit_roles.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\05_author_metadata\RMTGuard_AUTHOR_DECLARATIONS_AND_CREDIT_ROLES.md	source copied
48-hour Nature Methods science execution packet	copied	docs/nature_methods_48h_execution_packet.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_NATURE_METHODS_48H_EXECUTION_PACKET.md	source copied
machine-readable 48-hour execution packet	copied	results/submission/nature_methods_48h_execution_packet.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_NATURE_METHODS_48H_EXECUTION_PACKET.tsv	source copied
locked final claim boundary for current evidence	copied	manuscript/claim_scope_final.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_CLAIM_SCOPE_FINAL.md	source copied
machine-readable claim scope audit	copied	results/submission/claim_scope_final_audit.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_CLAIM_SCOPE_FINAL_AUDIT.tsv	source copied
P0 component ablation run sheet	copied	docs/p0_component_ablation_run_sheet.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_P0_COMPONENT_ABLATION_RUN_SHEET.md	source copied
P0 science sprint execution status	copied	docs/p0_science_sprint_status.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_P0_SCIENCE_SPRINT_STATUS.md	source copied
machine-readable P0 science sprint execution status	copied	results/submission/p0_science_sprint_status.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_P0_SCIENCE_SPRINT_STATUS.tsv	source copied
PDAC/TME main-figure versus supplement decision packet	copied	docs/pdac_tme_route_decision_packet.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_ROUTE_DECISION_PACKET.md	source copied
machine-readable PDAC/TME route decision packet	copied	results/submission/pdac_tme_route_decision_packet.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_ROUTE_DECISION_PACKET.tsv	source copied
author-controlled PDAC/TME route decision template	copied	metadata/pdac_tme_route_decision_template.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_ROUTE_DECISION_TEMPLATE.tsv	source copied
PDAC/TME dual-route data preflight	copied	docs/pdac_tme_dual_route_preflight.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_DUAL_ROUTE_PREFLIGHT.md	source copied
machine-readable PDAC/TME dual-route preflight	copied	results/submission/pdac_tme_dual_route_preflight.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_DUAL_ROUTE_PREFLIGHT.tsv	source copied
PDAC/TME dual-route execution runbook	copied	docs/pdac_tme_dual_route_runbook.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_DUAL_ROUTE_RUNBOOK.md	source copied
machine-readable PDAC/TME dual-route runbook	copied	results/submission/pdac_tme_dual_route_runbook.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_DUAL_ROUTE_RUNBOOK.tsv	source copied
PDAC/TME deep validation first-pass report	copied	docs/pdac_tme_deep_validation.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_DEEP_VALIDATION.md	source copied
machine-readable PDAC/TME deep validation summary	copied	results/pdac_tme/deep_validation/pdac_deep_validation_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_DEEP_VALIDATION_SUMMARY.tsv	source copied
FDR-controlled PDAC/TME cluster marker table	copied	results/pdac_tme/deep_validation/pdac_de_markers_fdr.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_DE_MARKERS_FDR.tsv	source copied
PDAC/TME marker-set enrichment table	copied	results/pdac_tme/deep_validation/pdac_marker_set_enrichment.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_MARKER_SET_ENRICHMENT.tsv	source copied
PDAC/TME external signature validation table	copied	results/pdac_tme/deep_validation/pdac_external_signature_validation.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_EXTERNAL_SIGNATURE_VALIDATION.tsv	source copied
Figure 4 PDAC/TME source data	copied	results/figures/source_data/figure4_pdac_tme_deep_validation.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_PDAC_TME_DEEP_VALIDATION_SOURCE_DATA.tsv	source copied
PDAC/TME pathway and atlas validation report	copied	docs/pdac_tme_pathway_atlas_validation.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_PATHWAY_ATLAS_VALIDATION.md	source copied
PDAC/TME Figure 4 strengthening board	copied	docs/pdac_tme_figure4_strengthening_board.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_FIGURE4_STRENGTHENING_BOARD.md	source copied
machine-readable PDAC/TME Figure 4 strengthening board	copied	results/submission/pdac_tme_figure4_strengthening_board.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_FIGURE4_STRENGTHENING_BOARD.tsv	source copied
strengthened Figure 4 panel blueprint	copied	manuscript/figure4_strengthened_panel_blueprint.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_STRENGTHENED_PANEL_BLUEPRINT.md	source copied
strengthened Figure 4 PNG	copied	figures/manuscript/figure4_pdac_tme_strengthened.png	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_PDAC_TME_STRENGTHENED.png	source copied
strengthened Figure 4 vector PDF	copied	figures/manuscript/figure4_pdac_tme_strengthened.pdf	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_PDAC_TME_STRENGTHENED.pdf	source copied
strengthened Figure 4 render manifest	copied	figures/manuscript/figure4_pdac_tme_strengthened_manifest.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_PDAC_TME_STRENGTHENED_MANIFEST.tsv	source copied
strengthened Figure 4 source data	copied	results/figures/source_data/figure4_pdac_tme_strengthened_source.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_PDAC_TME_STRENGTHENED_SOURCE_DATA.tsv	source copied
machine-readable PDAC/TME pathway and atlas validation summary	copied	results/pdac_tme/pathway_atlas_validation/pdac_pathway_atlas_validation_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_PATHWAY_ATLAS_SUMMARY.tsv	source copied
rank-based Hallmark/Reactome PDAC/TME pathway enrichment table	copied	results/pdac_tme/pathway_atlas_validation/pdac_pathway_rank_enrichment.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_PATHWAY_RANK_ENRICHMENT.tsv	source copied
PDAC/TME atlas marker citation mapping table	copied	results/pdac_tme/pathway_atlas_validation/pdac_atlas_marker_citation_mapping.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_PDAC_TME_ATLAS_MARKER_CITATION_MAPPING.tsv	source copied
Figure 4 PDAC/TME pathway and atlas source data	copied	results/figures/source_data/figure4_pdac_tme_pathway_atlas_source.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_PDAC_TME_PATHWAY_ATLAS_SOURCE_DATA.tsv	source copied
mentor journal route decision memo	copied	docs/mentor_journal_decision_2026-05-10.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_MENTOR_JOURNAL_DECISION_2026-05-10.md	source copied
CONCORD and scLENS competitor positioning memo	copied	docs/competitor_positioning_concord_sclens_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_COMPETITOR_POSITIONING_CONCORD_SCLENS.md	source copied
machine-readable competitor positioning matrix	copied	results/submission/competitor_positioning_matrix.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_COMPETITOR_POSITIONING_MATRIX.tsv	source copied
benchmark upgrade checklist from CONCORD and scLENS	copied	docs/benchmark_upgrade_from_concord_sclens_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_BENCHMARK_UPGRADE_FROM_CONCORD_SCLENS.md	source copied
P0 benchmark upgrade status after scLENSpy n_rand_matrix=20	copied	docs/p0_benchmark_upgrade_status_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_P0_BENCHMARK_UPGRADE_STATUS.md	source copied
CONCORD-style topology stress benchmark report	copied	docs/topology_stress_benchmark_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_TOPOLOGY_STRESS_BENCHMARK.md	source copied
machine-readable benchmark upgrade action table	copied	results/submission/benchmark_upgrade_from_concord_sclens.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_BENCHMARK_UPGRADE_FROM_CONCORD_SCLENS.tsv	source copied
current evidence-freeze report	copied	docs/current_evidence_freeze_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_CURRENT_EVIDENCE_FREEZE.md	source copied
machine-readable current evidence-freeze manifest	copied	results/submission/current_evidence_freeze_manifest.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_CURRENT_EVIDENCE_FREEZE_MANIFEST.tsv	source copied
freeze-aligned Results draft	copied	manuscript/results_freeze_aligned_draft.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_RESULTS_FREEZE_ALIGNED_DRAFT.md	source copied
freeze-aligned figure legends draft	copied	manuscript/figure_legends_freeze_aligned.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_FIGURE_LEGENDS_FREEZE_ALIGNED.md	source copied
machine-readable claim audit for freeze-aligned text	copied	results/submission/freeze_aligned_text_audit.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_FREEZE_ALIGNED_TEXT_AUDIT.tsv	source copied
machine-readable topology stress benchmark summary	copied	results/submission/topology_stress_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_TOPOLOGY_STRESS_SUMMARY.tsv	source copied
topology stress benchmark PNG	copied	figures/manuscript/figure_topology_stress.png	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_TOPOLOGY_STRESS.png	source copied
topology stress benchmark PDF	copied	figures/manuscript/figure_topology_stress.pdf	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_TOPOLOGY_STRESS.pdf	source copied
topology stress figure manifest	copied	figures/manuscript/topology_stress_figure_manifest.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_TOPOLOGY_STRESS_FIGURE_MANIFEST.tsv	source copied
Paul15 real-data topology monitor report	copied	docs/realdata_topology_benchmark_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_REALDATA_TOPOLOGY_BENCHMARK.md	source copied
machine-readable Paul15 real-data topology summary	copied	results/submission/realdata_topology_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_REALDATA_TOPOLOGY_SUMMARY.tsv	source copied
Paul15 real-data topology figure source data	copied	results/figures/source_data/figure_realdata_topology_source.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_REALDATA_TOPOLOGY_SOURCE_DATA.tsv	source copied
Paul15 real-data topology monitor PNG	copied	figures/manuscript/figure_realdata_topology_benchmark.png	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_REALDATA_TOPOLOGY.png	source copied
Paul15 real-data topology monitor PDF	copied	figures/manuscript/figure_realdata_topology_benchmark.pdf	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_REALDATA_TOPOLOGY.pdf	source copied
Paul15 real-data topology monitor TIFF	copied	figures/manuscript/figure_realdata_topology_benchmark.tiff	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_REALDATA_TOPOLOGY.tiff	source copied
Paul15 real-data topology render manifest	copied	figures/manuscript/figure_realdata_topology_manifest.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_REALDATA_TOPOLOGY_MANIFEST.tsv	source copied
Figure 3 callability and no-call decision map report	copied	docs/no_call_decision_map.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_NO_CALL_DECISION_MAP.md	source copied
machine-readable callability and no-call decision map	copied	results/callability/no_call_decision_map.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_NO_CALL_DECISION_MAP.tsv	source copied
Figure 3 callability decision-map source data	copied	results/figures/source_data/figure3_callability_decision_map.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE3_CALLABILITY_DECISION_MAP_SOURCE_DATA.tsv	source copied
Figure 3 callability and no-call decision map PNG	copied	figures/manuscript/figure_no_call_decision_map.png	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_NO_CALL_DECISION_MAP.png	source copied
Figure 3 callability and no-call decision map PDF	copied	figures/manuscript/figure_no_call_decision_map.pdf	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_NO_CALL_DECISION_MAP.pdf	source copied
Figure 3 callability and no-call decision map TIFF	copied	figures/manuscript/figure_no_call_decision_map.tiff	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_NO_CALL_DECISION_MAP.tiff	source copied
Figure 3 callability decision-map render manifest	copied	figures/manuscript/no_call_decision_map_manifest.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_NO_CALL_DECISION_MAP_MANIFEST.tsv	source copied
scLENS feasibility check report	copied	docs/sclens_feasibility_check_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_SCLENS_FEASIBILITY_CHECK.md	source copied
machine-readable scLENS smoke-test output	copied	results/submission/sclens_feasibility_smoke.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_SCLENS_FEASIBILITY_SMOKE.tsv	source copied
machine-readable scLENSpy PBMC3k/Kang h5ad smoke summary	copied	results/submission/sclens_h5ad_smoke_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_SCLENS_H5AD_SMOKE_SUMMARY.tsv	source copied
scLENSpy 10-repeat stability pilot report	copied	docs/sclens_stability_pilot_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_SCLENS_STABILITY_PILOT.md	source copied
machine-readable scLENSpy versus RMTGuard stability pilot table	copied	results/submission/sclens_vs_rmtguard_stability_pilot.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_SCLENS_VS_RMTGUARD_STABILITY_PILOT.tsv	source copied
scLENSpy n_rand_matrix=20 stability comparator report	copied	docs/sclens_stability_nrand20_2026-05-12.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_SCLENS_STABILITY_NRAND20.md	source copied
machine-readable scLENSpy n_rand_matrix=20 versus RMTGuard table	copied	results/submission/sclens_vs_rmtguard_stability_nrand20.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_SCLENS_VS_RMTGUARD_STABILITY_NRAND20.tsv	source copied
Figure 4 PDAC/TME bounded wording freeze	copied	docs/figure4_pdac_tme_wording_freeze.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_FIGURE4_PDAC_TME_WORDING_FREEZE.md	source copied
Nature Methods final go/no-go control packet	copied	docs/nature_methods_go_no_go_final.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\01_project_status\RMTGuard_NATURE_METHODS_GO_NO_GO_FINAL.md	source copied
Figure 4 bounded caption draft	copied	manuscript/figure4_caption_bounded_draft.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_CAPTION_BOUNDED_DRAFT.md	source copied
strengthened Figure 4 caption draft	copied	manuscript/figure4_caption_strengthened_draft.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_CAPTION_STRENGTHENED_DRAFT.md	source copied
strengthened Figure 4 Results draft	copied	manuscript/results_figure4_strengthened_draft.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_RESULTS_FIGURE4_STRENGTHENED_DRAFT.md	source copied
strengthened Figure 4 text audit	copied	docs/figure4_strengthened_text_audit.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_STRENGTHENED_TEXT_AUDIT.md	source copied
machine-readable strengthened Figure 4 text audit	copied	results/submission/figure4_strengthened_text_audit.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\04_gantt_and_figures\RMTGuard_FIGURE4_STRENGTHENED_TEXT_AUDIT.tsv	source copied
corresponding-author Figure 4 acknowledgement template	copied	manuscript/corresponding_author_figure4_acknowledgement_template.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_FIGURE4_ACKNOWLEDGEMENT_TEMPLATE.md	source copied
corresponding-author sign-off packet	copied	manuscript/corresponding_author_signoff_packet.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_SIGNOFF_PACKET.md	source copied
machine-readable corresponding-author sign-off packet	copied	results/submission/corresponding_author_signoff_packet.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_SIGNOFF_PACKET.tsv	source copied
Word corresponding-author sign-off packet	copied	output/doc/RMTGuard_corresponding_author_signoff_packet.docx	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_SIGNOFF_PACKET.docx	source copied
corresponding-author sign-off tracker	copied	metadata/corresponding_author_signoff_tracker.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_SIGNOFF_TRACKER.tsv	source copied
corresponding-author sign-off tracker report	copied	docs/corresponding_author_signoff_tracker.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_SIGNOFF_TRACKER.md	source copied
corresponding-author sign-off email draft	copied	manuscript/corresponding_author_signoff_email_draft.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_SIGNOFF_EMAIL_DRAFT.md	source copied
corresponding-author sign-off email EML draft	copied	output/email/RMTGuard_corresponding_author_signoff_email.eml	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_SIGNOFF_EMAIL.eml	source copied
corresponding-author reply intake runbook	copied	docs/corresponding_author_reply_intake_runbook.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\02_manual_actions\RMTGuard_CORRESPONDING_AUTHOR_REPLY_INTAKE_RUNBOOK.md	source copied
Nature Methods presubmission inquiry draft	copied	manuscript/nature_methods_presubmission_inquiry.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_NATURE_METHODS_PRESUBMISSION_INQUIRY_DRAFT.md	source copied
gated Nature Methods presubmission send packet	copied	manuscript/nature_methods_presubmission_send_packet.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_NATURE_METHODS_PRESUBMISSION_SEND_PACKET.md	source copied
machine-readable Nature Methods presubmission send packet	copied	results/submission/nature_methods_presubmission_send_packet.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_NATURE_METHODS_PRESUBMISSION_SEND_PACKET.tsv	source copied
Nature Methods presubmission send runbook	copied	docs/nature_methods_presubmission_send_runbook.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_NATURE_METHODS_PRESUBMISSION_SEND_RUNBOOK.md	source copied
official-source Nature Methods route verification checklist	copied	docs/nature_methods_official_route_verification.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_NATURE_METHODS_OFFICIAL_ROUTE_VERIFICATION.md	source copied
machine-readable official Nature Methods route verification checklist	copied	results/submission/nature_methods_official_route_verification.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_NATURE_METHODS_OFFICIAL_ROUTE_VERIFICATION.tsv	source copied
HOLD Nature Methods presubmission email draft	copied	output/email/RMTGuard_nature_methods_presubmission_inquiry_HOLD.eml	D:\99、共用信息\RMTGuard_20_50投稿资料包\07_presubmission\RMTGuard_NATURE_METHODS_PRESUBMISSION_INQUIRY_HOLD.eml	source copied
20-repeat synthetic component ablation report	copied	docs/component_ablation_benchmark.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_COMPONENT_ABLATION_BENCHMARK.md	source copied
machine-readable 20-repeat synthetic component ablation summary	copied	results/ablation/component_ablation_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_COMPONENT_ABLATION_SUMMARY.tsv	source copied
20-repeat real-data component ablation annotation report	copied	docs/realdata_ablation_annotation.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_REALDATA_ABLATION_ANNOTATION.md	source copied
machine-readable 20-repeat real-data component ablation annotation summary	copied	results/ablation/realdata_ablation_annotation_summary.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_REALDATA_ABLATION_ANNOTATION_SUMMARY.tsv	source copied
machine-readable P0 component ablation run sheet	copied	results/ablation/p0_component_ablation_run_sheet.tsv	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_P0_COMPONENT_ABLATION_RUN_SHEET.tsv	source copied
manuscript-grade null and power grid design	copied	docs/manuscript_grade_null_power_grid_design.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_NULL_POWER_GRID_DESIGN.md	source copied
50-repeat realistic null and rare-state power calibration report	copied	docs/realistic_null_power_calibration.md	D:\99、共用信息\RMTGuard_20_50投稿资料包\06_next_sprint_inputs\RMTGuard_REALISTIC_NULL_POWER_CALIBRATION.md	source copied
